,stations,stations Latitude,stations Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
112,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Café-Concierto La Fídula,40.41320930895101,-3.6964351529079273,Jazz Club
113,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,El Barril de las Letras,40.41435989216732,-3.6967134353360627,Spanish Restaurant
114,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,La Taberna de Espronceda,40.410658,-3.697932,Bar
115,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Arrocería Marina Ventura,40.41535302116083,-3.6989406886968395,Paella Restaurant
116,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Cantina Belesar,40.41313433400812,-3.696005802541076,Restaurant
117,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Zero Point Coffee Shop,40.409925433621694,-3.696936332307282,Café
118,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Room Mate Alicia Hotel,40.414624191759074,-3.700291198289229,Hotel
119,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Ocafu,40.41472827092418,-3.699140335280827,Spanish Restaurant
120,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,La Cabaña Argentina,40.415696026060175,-3.6989742057930957,Argentinian Restaurant
121,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Way Hostel,40.41263845574944,-3.7033413990304274,Hostel
122,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,La Tragantúa,40.41184555400155,-3.6954076239854836,Spanish Restaurant
123,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Café Central Madrid,40.414342867121555,-3.701595920462117,Jazz Club
124,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Restaurante Fuente De La Fama,40.41165943432995,-3.6977454577605444,Spanish Restaurant
125,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,InClan Brutal Bar,40.41502338061646,-3.7018643661445174,Tapas Restaurant
126,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,El Cielo,40.41231792508117,-3.6957429709417435,Food Truck
127,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Cacao Restobar,40.412469216059456,-3.6970807034338744,Venezuelan Restaurant
128,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Be Hoppy,40.4124572,-3.695562999999993,Beer Store
129,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Palacio Santa Ana,40.414382390474,-3.701874586944422,Gym / Fitness Center
130,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Brown Bear Bakery,40.414168656808066,-3.6987927855478913,Breakfast Spot
131,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Restaurante Viva Madrid,40.41516746717612,-3.6998336282593405,Spanish Restaurant
132,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Pizzeria Italiana Piccolo Diavolo,40.4115292313695,-3.695595850047005,Italian Restaurant
133,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Mi Madre era una Groupie,40.412674978258494,-3.6975029612431145,Nightclub
134,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Bajo El Volcán,40.40986951569525,-3.7009652249995955,Record Shop
135,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Le Comptoir de la Crêpe,40.412999,-3.695733,Creperie
136,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Eat Is Wok,40.41555287654177,-3.700304794194268,Asian Restaurant
137,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,DoubleTree by Hilton,40.415196669257774,-3.696738012419433,Hotel
138,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Jazz Bar,40.412610286054615,-3.6958377757918495,Jazz Club
139,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,La musa de Espronceda,40.410677906870376,-3.697921305662285,Spanish Restaurant
140,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,La Dolores,40.413811807653936,-3.6956569729216513,Bar
141,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,El Inti de Oro,40.415750765,-3.698969495,Peruvian Restaurant
142,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Más Al Sur,40.41002072974436,-3.6970542500265093,Bar
143,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Five Guys,40.41439534091891,-3.7007070166736185,Burger Joint
144,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Teatro de la Comedia,40.415565482219606,-3.7007928637009306,Theater
145,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,La Venencia,40.41574103686409,-3.6995741997563174,Wine Bar
146,ANTON MARTIN/1,40.41246302818812,-3.699375741673241,Mesón El Lacón,40.4151474192688,-3.6992614379833095,Spanish Restaurant
147,ATOCHA/1,40.408846792956474,-3.692490883566612,Museo Nacional Centro de Arte Reina Sofía (MNCARS),40.40873653580899,-3.6938217695074558,Art Museum
148,ATOCHA/1,40.408846792956474,-3.692490883566612,Plaza del Emperador Carlos V,40.40852749279578,-3.6926316754461883,Plaza
149,ATOCHA/1,40.408846792956474,-3.692490883566612,Ôven Mozzarella Bar,40.409570819758954,-3.693256875486928,Italian Restaurant
150,ATOCHA/1,40.408846792956474,-3.692490883566612,Museo Reina Sofia - Jardines,40.407676,-3.694552,Garden
151,ATOCHA/1,40.408846792956474,-3.692490883566612,Piedad y Terror en Picasso,40.40847971742021,-3.6940337164476733,Exhibit
152,ATOCHA/1,40.408846792956474,-3.692490883566612,CaixaForum Madrid,40.41101269430034,-3.693176507949829,Art Museum
153,ATOCHA/1,40.408846792956474,-3.692490883566612,Sleep'n Atocha,40.409238080652074,-3.6930327635901095,Bed & Breakfast
154,ATOCHA/1,40.408846792956474,-3.692490883566612,Cuesta de Moyano,40.40964483495062,-3.690313191154525,Park
155,ATOCHA/1,40.408846792956474,-3.692490883566612,Matilda Café Cantina,40.41103671290983,-3.694242787430761,Café
156,ATOCHA/1,40.408846792956474,-3.692490883566612,La Bodega de los Secretos,40.41070002645308,-3.6947620193358657,Restaurant
157,ATOCHA/1,40.408846792956474,-3.692490883566612,Tinto y Tapas,40.41103704082606,-3.694318167691207,Taverna
158,ATOCHA/1,40.408846792956474,-3.692490883566612,Jardín Tropical - Invernadero de Atocha,40.40686603137388,-3.6912039051780843,Garden
159,ATOCHA/1,40.408846792956474,-3.692490883566612,Teatro Kapital,40.409864264231665,-3.693251343111726,Nightclub
160,ATOCHA/1,40.408846792956474,-3.692490883566612,Only You Hotel Atocha,40.407160659015375,-3.6884378646317084,Hotel
161,ATOCHA/1,40.408846792956474,-3.692490883566612,60 Balconies,40.40916299802154,-3.6924582808496784,Hotel
162,ATOCHA/1,40.408846792956474,-3.692490883566612,Zero Point Coffee Shop,40.409925433621694,-3.696936332307282,Café
163,ATOCHA/1,40.408846792956474,-3.692490883566612,Motteau,40.41161292170898,-3.694798032133308,Pie Shop
164,ATOCHA/1,40.408846792956474,-3.692490883566612,La Canibal,40.40757,-3.696498,Brewery
165,ATOCHA/1,40.408846792956474,-3.692490883566612,La Libre,40.407742,-3.696379,Breakfast Spot
166,ATOCHA/1,40.408846792956474,-3.692490883566612,Museo del Jamón,40.41024547780197,-3.6925874580011637,Spanish Restaurant
167,ATOCHA/1,40.408846792956474,-3.692490883566612,Librerías Cuesta de Moyano,40.40968897893729,-3.6893885726171707,Bookstore
168,ATOCHA/1,40.408846792956474,-3.692490883566612,Pad Thai,40.410471053326035,-3.6926142963518234,Asian Restaurant
169,ATOCHA/1,40.408846792956474,-3.692490883566612,Jalo Restaurante,40.40955135247833,-3.693101628694199,Turkish Restaurant
170,ATOCHA/1,40.408846792956474,-3.692490883566612,La Tragantúa,40.41184555400155,-3.6954076239854836,Spanish Restaurant
171,ATOCHA/1,40.408846792956474,-3.692490883566612,Real Observatorio de Madrid,40.40938053409875,-3.6881681924504535,Museum
172,ATOCHA/1,40.408846792956474,-3.692490883566612,Real Jardín Botánico,40.41248287900338,-3.6920267551451493,Garden
173,ATOCHA/1,40.408846792956474,-3.692490883566612,Pizzeria Italiana Piccolo Diavolo,40.4115292313695,-3.695595850047005,Italian Restaurant
174,ATOCHA/1,40.408846792956474,-3.692490883566612,Pandora's Vox,40.40560029956408,-3.691992411052368,Music Venue
175,ATOCHA/1,40.408846792956474,-3.692490883566612,Tinto y Tapas San Pedro,40.411289,-3.694876,Spanish Restaurant
176,ATOCHA/1,40.408846792956474,-3.692490883566612,Nubel,40.40726628533323,-3.6950730087326713,Molecular Gastronomy Restaurant
177,ATOCHA/1,40.408846792956474,-3.692490883566612,Más Al Sur,40.41002072974436,-3.6970542500265093,Bar
178,ATOCHA/1,40.408846792956474,-3.692490883566612,GANZ café bistrot,40.41115609725861,-3.6948697159296118,Restaurant
179,ATOCHA/1,40.408846792956474,-3.692490883566612,Plaza de Platería de Martínez,40.41282827347961,-3.693618280493645,Plaza
180,ATOCHA/1,40.408846792956474,-3.692490883566612,La Gatoteca,40.407530770267684,-3.6960910219228604,Pet Café
181,ATOCHA/1,40.408846792956474,-3.692490883566612,Vinoteca Moratín,40.41261947884343,-3.695511165213914,Restaurant
182,ATOCHA/1,40.408846792956474,-3.692490883566612,O Pazo de Lugo,40.407589,-3.696473,Spanish Restaurant
183,ATOCHA/1,40.408846792956474,-3.692490883566612,Estación de Madrid-Puerta de Atocha,40.40638045791777,-3.690476670538011,Train Station
184,ATOCHA/1,40.408846792956474,-3.692490883566612,El Cielo,40.41231792508117,-3.6957429709417435,Food Truck
185,ATOCHA/1,40.408846792956474,-3.692490883566612,Acid Café,40.411838,-3.69485,Café
186,ATOCHA/1,40.408846792956474,-3.692490883566612,Be Hoppy,40.4124572,-3.695562999999993,Beer Store
187,ATOCHA/1,40.408846792956474,-3.692490883566612,El Pedal,40.407903,-3.697066,Bar
188,ATOCHA/1,40.408846792956474,-3.692490883566612,La Verónica,40.41264981347517,-3.695268439045623,Mediterranean Restaurant
189,ATOCHA/1,40.408846792956474,-3.692490883566612,100 Montaditos,40.408674461398924,-3.69259453169002,Sandwich Place
190,ATOCHA/1,40.408846792956474,-3.692490883566612,Hotel NH Madrid Nacional,40.40987189386905,-3.6924590506615806,Hotel
191,ATOCHA/1,40.408846792956474,-3.692490883566612,Atocha Tandoori,40.405064,-3.695337,Restaurant
192,ATOCHA/1,40.408846792956474,-3.692490883566612,Rodilla,40.406133,-3.690601,Sandwich Place
193,ATOCHA/1,40.408846792956474,-3.692490883566612,El Alambique,40.411801903635975,-3.695589620603405,Mediterranean Restaurant
194,ATOCHA/1,40.408846792956474,-3.692490883566612,Dunkin' Coffee,40.40898126999962,-3.6927370171966913,Donut Shop
195,ATOCHA/1,40.408846792956474,-3.692490883566612,Bar Achuri,40.40803165239546,-3.698301947352874,Bar
196,ATOCHA/1,40.408846792956474,-3.692490883566612,Murillo Café,40.41294,-3.691413,Restaurant
197,ATOCHA/1,40.408846792956474,-3.692490883566612,El 17 De Moreto,40.41287265988524,-3.6903099442346066,Gastropub
198,ATOCHA/1,40.408846792956474,-3.692490883566612,Restaurante Samarkanda,40.40711147775779,-3.691383116477467,Spanish Restaurant
199,ATOCHA/1,40.408846792956474,-3.692490883566612,Lizarran,40.40915883948516,-3.6924463784522694,Tapas Restaurant
200,ATOCHA/1,40.408846792956474,-3.692490883566612,Museo Nacional de Antropología,40.407529256683524,-3.6888759855333397,Museum
201,ATOCHA/1,40.408846792956474,-3.692490883566612,Charco de las Tortugas,40.4068229154228,-3.691205408269047,Lake
202,ATOCHA/1,40.408846792956474,-3.692490883566612,Hotel NH Madrid Atocha,40.40778756612251,-3.689386039585666,Hotel
203,ATOCHA/1,40.408846792956474,-3.692490883566612,PC Box Madrid Atocha,40.40439541178667,-3.691985607147217,Electronics Store
204,ATOCHA/1,40.408846792956474,-3.692490883566612,Cabeza Gigante de Bebé,40.406283059175124,-3.6887079595357744,Historic Site
205,ATOCHA/1,40.408846792956474,-3.692490883566612,Restaurante Café El Botánico,40.41279774734125,-3.691180935184451,Café
206,ATOCHA RENFE/1,40.406586090726144,-3.6893799937155283,Only You Hotel Atocha,40.407160659015375,-3.6884378646317084,Hotel
207,ATOCHA RENFE/1,40.406586090726144,-3.6893799937155283,Running Company Madrid,40.40671358190987,-3.686904474922283,Sporting Goods Shop
208,ATOCHA RENFE/1,40.406586090726144,-3.6893799937155283,Jardín Tropical - Invernadero de Atocha,40.40686603137388,-3.6912039051780843,Garden
209,ATOCHA RENFE/1,40.406586090726144,-3.6893799937155283,Pandora's Vox,40.40560029956408,-3.691992411052368,Music Venue
210,ATOCHA RENFE/1,40.406586090726144,-3.6893799937155283,Bodegas Rosell,40.403802520431654,-3.6906202941279647,Spanish Restaurant
211,ATOCHA RENFE/1,40.406586090726144,-3.6893799937155283,Estación de Madrid-Puerta de Atocha,40.40638045791777,-3.690476670538011,Train Station
212,ATOCHA RENFE/1,40.406586090726144,-3.6893799937155283,Plaza del Emperador Carlos V,40.40852749279578,-3.6926316754461883,Plaza
213,ATOCHA RENFE/1,40.406586090726144,-3.6893799937155283,Real Observatorio de Madrid,40.40938053409875,-3.6881681924504535,Museum
214,ATOCHA RENFE/1,40.406586090726144,-3.6893799937155283,Cuesta de Moyano,40.40964483495062,-3.690313191154525,Park
