,station,line,Latitude,Longitude
66,CARABANCHEL ALTO,11,40.371998,-3.7519162000000006
67,LA FORTUNA,11,40.357952000000004,-3.7778337
68,LA PESETA,11,40.364216,-3.756906
69,PAN BENDITO,11,40.375859999999996,-3.7341716
70,PLAZA ELIPTICA,11,40.384598,-3.7182557999999997
71,SAN FRANCISCO,11,40.373591999999995,-3.7391062000000006
72,ALCORCON CENTRAL,12,40.350082,-3.8317802000000003
73,ALONSO DE MENDOZA,12,40.300808,-3.7366414
74,ARROYO CULEBRO,12,40.288740000000004,-3.756828
75,CASA DEL RELOJ,12,40.326595000000005,-3.7594285000000003
76,CONSERVATORIO,12,40.293243,-3.7457716
77,EL BERCIAL,12,40.329066999999995,-3.7296386
78,EL CARRASCAL,12,40.33663,-3.7401862
79,EL CASAR,12,40.318622999999995,-3.7098587
80,FUENLABRADA CENTRAL,12,40.282672999999996,-3.7989094
81,GETAFE CENTRAL,12,40.30992,-3.7340337999999997
82,HOSPITAL DE FUENLABRADA,12,40.285748,-3.8164269999999996
83,HOSPITAL DE MOSTOLES,12,40.316520000000004,-3.874715
84,HOSPITAL SEVERO OCHOA,12,40.321766,-3.7679784
85,JUAN DE LA CIERVA,12,40.3118,-3.7222502
86,JULIAN BESTEIRO,12,40.334740000000004,-3.7526681000000006
87,LEGANES CENTRAL,12,40.328976000000004,-3.7715445
88,LORANCA,12,40.296803000000004,-3.8376919999999997
89,LOS ESPARTALES,12,40.324220000000004,-3.7182038
90,MANUELA MALASAÑA,12,40.309025,-3.8640269999999997
91,MOSTOLES CENTRAL,12,40.3285,-3.8635453999999996
92,PARQUE DE LOS ESTADOS,12,40.286834999999996,-3.7869822999999996
93,PARQUE EUROPA,12,40.28517,-3.8063266000000002
94,PARQUE LISBOA,12,40.349678000000004,-3.8212010000000003
95,PARQUE OESTE,12,40.345890000000004,-3.8493432999999997
96,PRADILLO,12,40.321674,-3.8648943999999994
98,SAN NICASIO,12,40.336155,-3.7758762999999997
99,UNIVERSIDAD REY JUAN CARLOS,12,40.335117,-3.8721886
100,ALSACIA,2,40.418285,-3.6235144
