,Longitude,Latitude,line,station,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
170,2.203312,41.40744,TRAMVIA (T4),FLUVIÀ/TRAMVIA (T4),1,Mediterranean Restaurant,Pizza Place,Restaurant,Park,Bakery,Hotel,Coffe Shop,Amphitheater,Bistro,Hot Dog Joint
174,2.118013,41.385808,METRO (L3),PALAU REIAL/METRO (L3),1,Restaurant,Coffe Shop,Hotel,Mediterranean Restaurant,Garden,Bar,German Restaurant,Donut Shop,Print Shop,Breakfast Spot
183,2.185449,41.384232,RENFE,DE FRANÇA/RENFE,7,Tapas Restaurant,Cocktail Bar,Bar,Wine Bar,Restaurant,Coffe Shop,Hotel,Mediterranean Restaurant,Mexican Restaurant,Dessert Shop
184,2.183101,41.430862,RENFE,SANT ANDREU ARENAL/RENFE,9,Restaurant,Grocery Store,Tapas Restaurant,Mediterranean Restaurant,Park,Bakery,Asian Restaurant,Sandwich Place,Food,Pet Store
187,2.18566,41.382674,METRO (L4),BARCELONETA/METRO (L4),7,Tapas Restaurant,Cocktail Bar,Restaurant,Wine Bar,Seafood Restaurant,Bar,Mediterranean Restaurant,Burger Joint,Coffe Shop,Mexican Restaurant
188,2.206472,41.423961,METRO (L4),LA PAU/METRO (L4),9,Coffe Shop,Tapas Restaurant,Restaurant,Supermarket,Athletics & Sports,Art Gallery,Pharmacy,Bar,Fast Food Restaurant,Park
195,2.173104,41.388481,METRO (L4),URQUINAONA/METRO (L4),2,Hotel,Restaurant,Coffe Shop,Tapas Restaurant,Mediterranean Restaurant,Japanese Restaurant,Clothing Store,Art Gallery,Sporting Goods Shop,Plaza
200,2.174535,41.415996,METRO (L4),HOSPITAL DE SANT PAU/METRO (L4),9,Supermarket,Gym,Restaurant,Farmers Market,Breakfast Spot,Swiss Restaurant,Pharmacy,Athletics & Sports,Pizza Place,Bar
212,2.19105,41.436433,METRO (L1),SANT ANDREU/METRO (L1),9,Restaurant,Coffe Shop,Bar,Plaza,Park,Grocery Store,Brewery,Mexican Restaurant,Argentinian Restaurant,Snack Place
218,2.192089,41.387575,TRAMVIA (T4),CIUTADELLA/TRAMVIA (T4),0,Restaurant,Nightclub,Coffe Shop,Japanese Restaurant,Mediterranean Restaurant,Italian Restaurant,South American Restaurant,Cocktail Bar,Gym,Lounge
