,station,line,Latitude,Longitude
215,RAMON Y CAJAL,C-8B,40.48823855927127,-3.694745799781866
216,RECOLETOS,C-8B,40.42340615992542,-3.6908601632799383
217,SAN FERNANDO,C-8B,40.442661299211494,-3.5338527701769977
218,SANTA EUGENIA,C-8B,40.386982804664136,-3.6090639338426196
219,TORREJON DE ARDOZ,C-8B,40.454600927102526,-3.479826252209788
220,TORRELODONES,C-8B,40.57450104755433,-3.956549700643582
221,VALLECAS,C-8B,40.38220639867893,-3.6245600075556976
222,VICALVARO,C-8B,40.40131262489014,-3.595935723437658
223,VILLALBA,C-8B,40.62635780522544,-4.00810707481334
224,CERCEDILLA,C-9,40.73756216129166,-4.065909176311622
225,COTOS,C-9,40.82225006453072,-3.9645235015302367
226,PUERTO NAVACERRADA,C-9,40.78440504245794,-4.0047452241391746
